"","WT.sham.1","WT.sham.2","WT.sham.3","WT.isc.1","WT.isc.2","WT.isc.3","Trans.sham.1","Trans.sham.2","Trans.sham.3","Trans.isc.1","Trans.isc.2","Trans.isc.3"
"Aldh1a2",6.81864782040432,6.57442759926857,6.81033922868053,7.57019678198031,7.27404988100024,7.92389053360269,7.47881282521877,7.89055667505595,8.71508953416702,7.35728224613457,7.71797709627763,7.65878230135045
"Rgs2",9.71882116509077,9.29787317048546,9.68305315533741,11.5870020789809,11.3631828585636,11.607782813577,9.37716663744525,9.49961274522865,9.44581229797313,10.5565293949735,10.3321492226568,10.041587205061
"Scnn1b",6.3155614842683,6.66721242688332,5.8715623733015,6.00752427333616,5.79301301819404,6.16543839418326,7.66448209747329,7.43847129290251,7.62608106476335,6.56155738823732,6.7870322318425,6.86357344399112
"Cxcl12",9.6647625044658,9.5824349012617,10.0327651722793,9.31852830113654,9.39627305084742,9.41854026664493,7.94520279298027,8.34246917008265,8.85006101613495,7.86133893302772,8.20611284923522,8.25255820510205
"Sox11",7.76017564500054,7.98847635693664,7.92680203592646,9.82081849681797,9.15895898713153,9.64003890564992,9.45881130698954,9.20767208792576,9.52455369739861,8.83521681867646,9.12857039837467,9.0704062684638
"Spint1",6.83505907524684,6.83806484462626,6.32222282050861,6.81441534330731,7.00194428852933,7.02453990629683,8.31460276950434,8.01543826229308,8.24803626800592,7.5143974415995,7.30519863674154,7.79688820000322
"Depdc7",7.85788178068173,7.43572817383787,7.57285583300999,6.68953339109549,6.28738164235339,6.49681714759917,6.55686106898934,6.99655029151366,6.31269151945292,6.60654293905448,6.27931763594612,6.45789275453365
"Stac2",8.63816050276749,8.8261920946517,8.71253565292568,8.78967543909052,8.56567598513297,8.69191780262563,10.05710879285,9.87175868952984,9.70742983727617,10.0106741037512,9.72151081656966,9.71851406446507
"Tmc6",6.2529351439238,6.24016595756397,6.57974651758343,6.72603380750465,6.80544670042797,6.84816889441515,7.50822636996828,7.17188991948228,7.79166891169479,7.4802936385937,7.32020875232568,7.54325792664515
"Trpc6",6.96460425705374,6.8990899419548,7.13495861864231,7.31729089936778,7.04839498144091,7.16143866684649,6.49325430797218,6.22667544838814,6.14204622655718,6.09847444792775,5.96626498663604,6.05982918637949
"Sumo1",11.6133734797555,11.0493265952631,11.7024720411943,11.9118490763584,11.7330530377272,11.2410734245779,10.3076543883959,10.4679821666911,10.4036424963545,10.3413888344031,10.2100895008889,10.7583039902156
"Upp1",6.84498455015008,6.70941177498386,7.04738417422248,7.95076417089703,7.87890564928216,8.21954383087832,8.28156275457066,7.62737170403325,7.98212734123678,7.9562549869263,8.18103013749608,8.22720137731248
"Wnt2",7.83520008668858,7.75282235312968,7.52364501388745,7.43100971735596,7.16999511507053,6.78798594789352,6.76185788466898,6.76928447948118,6.51360634167633,6.86681902885971,6.33254088515144,6.68568326532337
"Wt1",5.39417532330313,5.68150859867481,5.59946182042138,5.4945538656839,5.35039895646921,5.19222506873131,7.85114059791132,7.19423761039427,7.01754014296396,6.83489325982127,6.34217602327564,6.51048217639964
"Xirp1",5.21157275657124,5.02835608331075,5.30085074343731,7.08725388533726,7.35006466994942,8.48289409841615,5.27613957018675,5.27867850174829,5.28618016413328,5.80411017002933,5.73973139274089,5.28627473238664
"Grp",6.90383963853979,6.87601050979016,7.05889365242215,7.0385982412627,6.93997239127797,7.09362501642469,9.53481463873119,9.82344082839949,9.82972859930693,9.4159484851743,9.12074087288845,9.56161749985585
"Smc5",8.02132094269768,7.93378897706252,8.0822785729805,8.1173525555066,7.95930166612282,7.83698985846877,9.50375405504566,9.30226726837778,9.0972993868502,8.97506859164369,8.77903283969703,9.0757514322792
"Dyrk3",8.07232153226446,8.09765495391709,8.0737498967101,9.96515266498512,9.79488446767929,10.2375589832721,8.32574149380611,7.87661736705038,8.24654249975264,8.968916022283,8.77432827772619,8.89813274549012
