"","WT.sham.1","WT.sham.2","WT.sham.3","WT.isc.1","WT.isc.2","WT.isc.3","Trans.sham.1","Trans.sham.2","Trans.sham.3","Trans.isc.1","Trans.isc.2","Trans.isc.3"
"1427052_at",6.21163608555276,5.58602327292289,6.35953809498034,5.37884085506673,5.92367237335292,7.14730209053497,5.36941153150122,5.9579750167969,6.85954833608004,5.46786288622685,6.54286464899532,6.48031437038583
"1419183_at",8.20630562618175,8.28747388708287,8.29670955562346,8.50798016324819,8.77438069243761,8.71185342414251,8.09335804453127,8.28523739922928,8.07165095741257,8.56477457410477,8.89839753002018,8.90552147485805
"1417145_at",7.36218181691037,7.68018998869984,7.84826075669692,7.54835212017394,7.53902955886269,7.74448543135747,8.3419499555612,8.19580828856682,8.24238677693137,7.72711453699546,8.26256759184667,8.42607502688603
"1427070_at",7.79109825795382,7.26407202876896,8.06710490418377,7.63875705763529,7.25724899818445,7.27465496608031,8.0074735610576,7.69947528715361,7.87686405827739,7.85997023817403,7.53253223518925,7.57532743071251
"1448719_at",5.28929430411336,6.24970498521318,5.26419172322046,5.39309230740375,5.55056367123031,6.20816755847533,5.94255343642124,5.7438356992813,6.09786399986775,5.27489055543521,5.27646279164758,6.43735475472752
"1417407_at",7.79990471528416,7.86786553375261,8.00022853056751,8.48608556795467,8.45484396466,8.48867865342704,7.74393095361606,7.65032308741055,7.90945199563541,8.15709133376824,8.35035893716393,8.2776353607177
"1420427_a_at",8.5988933957503,8.82846444560177,8.89135135489745,9.6911296213019,9.53680454201119,9.84078710568009,9.06595683367707,8.92092659731161,8.83344861745041,9.32692601414782,9.67406134253155,9.7006366121975
"1438950_x_at",6.65096109569939,7.10853238854949,6.21183202631763,6.80961143334257,6.83690615254888,6.78485123179924,6.35017297792081,6.37813831686967,5.84660634183872,5.97398907664364,6.72892903358587,6.49869759707594
"1434334_at",6.16953445311573,5.89540792695594,6.21887079710579,6.56629754121648,6.02711489831178,6.54326816678593,6.03016860357071,5.67078590299211,5.84065279330786,6.2185852531577,6.36307945261036,6.57461991057472
"1452171_at",8.13676941666135,8.40880744770062,8.46166827692132,9.4002085657634,9.08084861768571,9.61799077395026,8.21668381178021,8.25313244403015,8.3929037420466,8.99882335937033,9.26117733805822,9.1631127484501
"1417166_at",9.69091987204237,9.38771705738582,9.67972028065747,9.06160943860684,9.14530301659522,8.89410791141525,9.6138714436332,9.81996250070784,9.9051572780757,9.45282397642899,9.20140720623121,9.21975152912548
"1426571_at",5.45101508896612,6.33340576030614,6.30170920341432,5.82322785122685,6.31001523640243,6.78646135744382,6.22967861211964,6.16020719098815,5.83221112407697,5.81844720807346,6.38366034054035,5.40431477885804
"1416559_at",7.17846671870225,7.58640274418125,7.11179379990156,7.63641923620453,7.04414047261504,7.70309958383788,6.9571313417422,7.34845553704166,6.98813017894262,7.41994304391144,7.59785188446959,7.66643708282863
"1455912_x_at",7.01544478212224,7.35413672953743,6.92859219087064,8.12250905962064,7.82389654603315,7.8925342391015,6.96691090752663,7.22103917748417,7.38021605321913,7.9630687868533,7.58227145127576,7.61578267218811
"1449724_s_at",9.74602783693244,9.73897284129194,9.89376655857415,10.4472619524652,10.1965074268711,10.2719986862839,9.82173999758065,9.75457357812825,9.94256793163062,10.2739859829443,10.377668470827,10.3199557233279
"1448726_at",7.88239029032968,7.98490556035803,8.09866126963804,8.62242513191663,8.24172798652111,8.7967097611154,7.87261745706422,7.90751503320812,8.03791777461865,8.24226862945729,8.47752716017735,8.48858489023994
"1420155_at",5.74600951649886,6.44060083014253,5.34839221244263,6.07806042153473,5.48539915327255,6.06881288341924,5.9675505916432,5.78053574173388,5.78641062883138,5.3174072498912,5.73561577638706,5.91841439547381
"1420302_at",5.21850112661295,5.1180986779915,5.60440454295267,5.13970839471717,5.93857168352599,5.18959580707572,5.26215654110731,5.12211410823808,5.97044690424982,5.2163051742847,5.82785726505091,5.18958781701657
"1440255_at",6.82567639423478,7.08697225330764,6.65632706517354,7.52560376554098,7.173345092365,7.41897895727358,6.78880639292009,6.79311379427721,6.59112443481271,7.30197463788034,7.64439082233085,7.56629412132724
"1426706_s_at",6.08179013148915,6.00164535413271,6.26168587469869,6.14290546235571,6.06279740985773,6.67322667302019,6.56153076667472,6.1830893573187,6.59587389764915,6.60360867157411,6.44366302245523,6.66836337344876
"1460253_at",7.08299904427925,6.83564207001406,7.11150113116293,6.44755402428089,6.50563991220567,6.80683499734603,7.00141785379306,7.00094835039265,6.82150640674916,6.67092578742597,6.59096978156885,6.45801174028303
"1419129_at",5.57177083923121,5.1908171717579,5.52694408537617,5.99221629894411,5.36779311800933,5.27688316899842,5.3682861674975,5.28801616126296,5.91190794503784,5.7837603234885,6.16702569733065,5.34907107531527
"1449593_at",5.47679556841327,6.20746736308431,5.29769833723918,5.51130992520359,5.93363151147296,6.0353863728928,6.0503423639306,6.29323363868644,6.25509182773066,6.135070607264,6.12727941999847,5.88812027302987
"1449910_at",6.87135715372778,6.91165077167453,7.0404622829772,7.01524991185497,7.00899500479444,6.98913987005432,6.4717394278088,6.93579867115306,6.97630481095296,6.74618526105079,6.38775644844767,6.46574320629337
"1437208_at",7.99387050161756,7.91045095816831,8.06287639386852,7.0168018843819,7.65556752406714,8.31308097432587,7.59052004664135,8.14996103538802,8.0917342198447,7.09630539492249,7.70760413905243,7.33248758556347
"1420161_at",6.32149631751932,6.55272891384688,6.38405301833971,6.88616242556059,6.80183283352064,7.24198212297451,6.53995698584351,6.47835275348336,6.37690387036649,6.89586286085833,6.86557140351721,6.82043035361642
"1448422_at",10.9605254751723,10.8927676401262,10.5163760488784,10.1140177034648,10.624256507765,10.2849632707476,10.5203114815809,10.7189149639482,10.7495357725262,10.3666244989286,10.0477966538614,10.2042329364406
"1434167_at",6.88441471167708,6.70897854418338,7.12359778848291,7.35651834892431,7.04981055256144,7.46069004453446,6.84749664171217,6.99921329803857,6.4799791900195,7.50586483798347,7.23684798623992,7.47577986874664
